<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	98597.63	98597.63	98418.76	98418.76	14340	0	64
2025.01.01	04:00:00	98418.72	98445.99	98138.49	98158.33	14400	0	64
2025.01.01	08:00:00	98158.29	98193.86	97957.48	97976.11	14400	0	64
2025.01.01	12:00:00	97976.07	97976.07	97460.54	97480.76	14400	0	64
2025.01.01	16:00:00	97480.72	97480.72	97309.96	97445.31	14401	0	64
2025.01.01	20:00:00	97445.27	97445.27	97164.93	97269.94	14340	0	64
2025.01.02	00:00:00	97269.90	97432.34	97170.94	97195.74	14400	0	64
2025.01.02	04:00:00	97195.70	97271.40	97082.20	97130.54	14400	0	64
2025.01.02	08:00:00	97130.50	97501.76	97126.26	97374.23	14400	0	64
2025.01.02	12:00:00	97374.19	97391.57	97059.57	97059.57	14400	0	64
2025.01.02	16:00:00	97059.53	97073.67	96815.45	96908.60	14400	0	64
2025.01.02	20:00:00	96908.56	97055.62	96826.33	96930.39	14400	0	64
2025.01.03	00:00:00	96930.35	97093.37	96914.63	96986.73	14400	0	64
2025.01.03	04:00:00	96986.69	97280.78	96938.58	97273.06	14400	0	64
2025.01.03	08:00:00	97273.02	97277.07	97110.09	97251.25	14400	0	64
2025.01.03	12:00:00	97251.21	97383.49	97202.07	97322.98	14400	0	64
2025.01.03	16:00:00	97322.94	97457.99	97303.30	97415.20	14400	0	64
2025.01.03	20:00:00	97415.16	97614.47	97357.61	97501.95	14400	0	64
2025.01.04	00:00:00	97501.91	97547.09	97362.85	97418.52	14400	0	64
2025.01.04	04:00:00	97418.48	97688.03	97377.88	97529.92	14400	0	64
2025.01.04	08:00:00	97529.88	97542.45	97416.73	97416.73	14400	0	64
2025.01.04	12:00:00	97416.69	97434.97	97231.59	97256.06	14400	0	64
2025.01.04	16:00:00	97256.02	97484.80	97237.66	97379.77	14401	0	64
2025.01.04	20:00:00	97379.73	97482.29	97313.48	97313.48	14400	0	64
2025.01.05	00:00:00	97313.44	97367.85	97180.81	97252.28	14400	0	64
2025.01.05	04:00:00	97252.24	97427.79	97202.13	97295.39	14335	0	64
2025.01.05	08:00:00	97295.35	97483.80	97260.11	97397.74	14400	0	64
2025.01.05	12:00:00	97397.70	97721.47	97359.78	97622.08	14282	0	64
2025.01.05	16:00:00	97622.04	97648.90	97511.88	97517.29	14400	0	64
2025.01.05	20:00:00	97517.25	97545.51	97299.27	97438.20	14400	0	64
2025.01.06	00:00:00	97438.16	97586.68	97357.89	97581.20	14400	0	64
2025.01.06	04:00:00	97581.16	98008.27	97576.64	97848.46	14400	0	64
2025.01.06	08:00:00	97848.42	98000.34	97837.42	97905.39	14316	0	64
2025.01.06	12:00:00	97905.35	98005.28	97780.25	97780.25	14400	0	64
2025.01.06	16:00:00	97780.21	98056.75	97676.85	97933.23	14400	0	64
2025.01.06	20:00:00	97933.19	97933.19	97601.22	97695.64	14400	0	64
2025.01.07	00:00:00	97695.60	97846.07	97592.08	97790.67	14401	0	64
2025.01.07	04:00:00	97790.63	97925.01	97732.47	97919.45	14400	0	64
2025.01.07	08:00:00	97919.41	97974.17	97790.89	97863.63	14400	0	64
2025.01.07	12:00:00	97863.59	98081.58	97859.35	98080.10	14400	0	64
2025.01.07	16:00:00	98080.06	98217.62	97999.83	98173.42	14400	0	64
2025.01.07	20:00:00	98173.38	98202.55	98024.73	98184.41	14400	0	64
2025.01.08	00:00:00	98184.37	98184.37	97871.47	97871.47	14400	0	64
2025.01.08	04:00:00	97871.43	98110.13	97761.68	98010.10	14400	0	64
