<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	95327.92	95378.79	95324.00	95330.55	3540	0	30
2025.01.01	01:00:00	95330.53	95429.82	95330.19	95399.62	3600	0	30
2025.01.01	02:00:00	95399.60	95399.60	95344.64	95344.64	3600	0	30
2025.01.01	03:00:00	95344.62	95365.35	95297.68	95355.95	3600	0	30
2025.01.01	04:00:00	95355.93	95365.11	95315.33	95323.96	3600	0	30
2025.01.01	05:00:00	95323.94	95379.88	95313.68	95361.28	3600	0	30
2025.01.01	06:00:00	95361.26	95425.58	95350.62	95408.04	3600	0	30
2025.01.01	07:00:00	95408.02	95408.02	95365.32	95365.32	3600	0	30
2025.01.01	08:00:00	95365.30	95373.13	95321.02	95356.21	3600	0	30
2025.01.01	09:00:00	95356.19	95356.19	95302.21	95343.15	3600	0	30
2025.01.01	10:00:00	95343.13	95343.13	95279.47	95322.37	3600	0	30
2025.01.01	11:00:00	95322.35	95322.35	95269.13	95278.80	3600	0	30
2025.01.01	12:00:00	95278.78	95311.13	95254.68	95291.33	3600	0	30
2025.01.01	13:00:00	95291.31	95319.10	95272.02	95272.02	3600	0	30
2025.01.01	14:00:00	95272.00	95272.00	95200.02	95200.02	3600	0	30
2025.01.01	15:00:00	95200.00	95200.00	95142.54	95142.54	3600	0	30
2025.01.01	16:00:00	95142.52	95158.47	95101.94	95153.17	3600	0	30
2025.01.01	17:00:00	95153.15	95162.54	95106.35	95140.94	3600	0	30
2025.01.01	18:00:00	95140.92	95140.92	95068.94	95068.94	3600	0	30
2025.01.01	19:00:00	95068.92	95098.08	95045.52	95060.80	3601	0	30
2025.01.01	20:00:00	95060.78	95060.78	95009.78	95044.41	3600	0	30
2025.01.01	21:00:00	95044.39	95048.47	95002.81	95004.76	3600	0	30
2025.01.01	22:00:00	95004.74	95004.74	94954.86	94970.19	3600	0	30
2025.01.01	23:00:00	94970.17	95070.50	94962.67	95045.16	3540	0	30
2025.01.02	00:00:00	95045.14	95045.14	94973.16	94973.16	3600	0	30
2025.01.02	01:00:00	94973.14	94991.03	94952.54	94980.49	3600	0	30
2025.01.02	02:00:00	94980.47	95005.82	94948.22	94948.22	3600	0	30
2025.01.02	03:00:00	94948.20	95010.43	94921.92	95008.47	3600	0	30
2025.01.02	04:00:00	95008.45	95126.86	95008.13	95077.32	3600	0	30
2025.01.02	05:00:00	95077.30	95077.30	95032.66	95055.63	3600	0	30
2025.01.02	06:00:00	95055.61	95122.08	95053.53	95094.40	3600	0	30
2025.01.02	07:00:00	95094.38	95114.29	95042.33	95042.33	3600	0	30
2025.01.02	08:00:00	95042.31	95081.19	95042.03	95071.07	3600	0	30
2025.01.02	09:00:00	95071.05	95071.05	95004.91	95032.67	3600	0	30
2025.01.02	10:00:00	95032.65	95098.95	95031.33	95071.39	3600	0	30
2025.01.02	11:00:00	95071.37	95071.37	95027.01	95035.96	3600	0	30
2025.01.02	12:00:00	95035.94	95040.67	94980.55	94980.55	3600	0	30
2025.01.02	13:00:00	94980.53	95024.59	94972.51	95005.53	3600	0	30
2025.01.02	14:00:00	95005.51	95043.84	94993.23	95005.97	3600	0	30
2025.01.02	15:00:00	95005.95	95005.95	94933.97	94933.97	3600	0	30
2025.01.02	16:00:00	94933.95	94948.00	94916.01	94918.58	3600	0	30
2025.01.02	17:00:00	94918.56	94930.09	94859.83	94859.83	3600	0	30
2025.01.02	18:00:00	94859.81	94930.70	94853.01	94891.64	3600	0	30
