<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	95327.92	95429.82	95297.68	95355.95	14340	0	30
2025.01.01	04:00:00	95355.93	95425.58	95313.68	95365.32	14400	0	30
2025.01.01	08:00:00	95365.30	95373.13	95269.13	95278.80	14400	0	30
2025.01.01	12:00:00	95278.78	95319.10	95142.54	95142.54	14400	0	30
2025.01.01	16:00:00	95142.52	95162.54	95045.52	95060.80	14401	0	30
2025.01.01	20:00:00	95060.78	95070.50	94954.86	95045.16	14340	0	30
2025.01.02	00:00:00	95045.14	95045.14	94921.92	95008.47	14400	0	30
2025.01.02	04:00:00	95008.45	95126.86	95008.13	95042.33	14400	0	30
2025.01.02	08:00:00	95042.31	95098.95	95004.91	95035.96	14400	0	30
2025.01.02	12:00:00	95035.94	95043.84	94933.97	94933.97	14400	0	30
2025.01.02	16:00:00	94933.95	94966.13	94853.01	94938.69	14400	0	30
2025.01.02	20:00:00	94938.67	95002.19	94874.50	94994.35	14400	0	30
2025.01.03	00:00:00	94994.33	94994.33	94867.53	94867.53	14400	0	30
2025.01.03	04:00:00	94867.51	94961.13	94831.42	94943.68	14400	0	30
2025.01.03	08:00:00	94943.66	95026.71	94929.80	94957.86	14400	0	30
2025.01.03	12:00:00	94957.84	94989.73	94919.76	94934.53	14400	0	30
2025.01.03	16:00:00	94934.51	94958.11	94813.19	94819.18	14400	0	30
2025.01.03	20:00:00	94819.16	94845.06	94653.43	94684.98	14400	0	30
2025.01.04	00:00:00	94684.96	94756.63	94649.06	94725.44	14400	0	30
2025.01.04	04:00:00	94725.42	94725.42	94566.19	94583.19	14400	0	30
2025.01.04	08:00:00	94583.17	94688.10	94550.78	94630.16	14400	0	30
2025.01.04	12:00:00	94630.14	94645.02	94543.66	94574.43	14400	0	30
2025.01.04	16:00:00	94574.41	94639.73	94549.08	94599.26	14401	0	30
2025.01.04	20:00:00	94599.24	94621.89	94526.96	94551.29	14400	0	30
2025.01.05	00:00:00	94551.27	94560.40	94451.28	94526.27	14400	0	30
2025.01.05	04:00:00	94526.25	94548.39	94423.15	94456.88	14335	0	30
2025.01.05	08:00:00	94456.86	94531.93	94400.01	94481.51	14400	0	30
2025.01.05	12:00:00	94481.49	94498.73	94428.37	94465.89	14282	0	30
2025.01.05	16:00:00	94465.87	94602.84	94453.73	94576.32	14400	0	30
2025.01.05	20:00:00	94576.30	94640.26	94538.06	94558.61	14400	0	30
2025.01.06	00:00:00	94558.59	94558.59	94386.87	94386.87	14400	0	30
2025.01.06	04:00:00	94386.85	94523.56	94306.44	94490.00	14400	0	30
2025.01.06	08:00:00	94489.98	94610.83	94477.15	94584.05	14316	0	30
2025.01.06	12:00:00	94584.03	94610.02	94490.96	94490.96	14400	0	30
2025.01.06	16:00:00	94490.94	94549.72	94442.17	94498.40	14400	0	30
2025.01.06	20:00:00	94498.38	94555.98	94451.98	94510.09	14400	0	30
2025.01.07	00:00:00	94510.07	94536.56	94452.36	94501.72	14401	0	30
2025.01.07	04:00:00	94501.70	94640.59	94466.60	94635.91	14400	0	30
2025.01.07	08:00:00	94635.89	94666.83	94585.73	94622.62	14400	0	30
2025.01.07	12:00:00	94622.60	94796.67	94593.54	94775.51	14400	0	30
2025.01.07	16:00:00	94775.49	94906.46	94734.53	94902.90	14400	0	30
2025.01.07	20:00:00	94902.88	94981.80	94813.31	94948.58	14400	0	30
2025.01.08	00:00:00	94948.56	94993.04	94912.00	94968.24	14400	0	30
2025.01.08	04:00:00	94968.22	95003.24	94914.82	95002.68	14400	0	30
2025.01.08	08:00:00	95002.66	95010.15	94915.82	94967.08	14400	0	30
2025.01.08	12:00:00	94967.06	95010.22	94877.03	94885.40	14400	0	30
2025.01.08	16:00:00	94885.38	94954.91	94832.80	94900.99	14400	0	30
2025.01.08	20:00:00	94900.97	94907.28	94766.48	94766.48	14400	0	30
2025.01.09	00:00:00	94766.46	94786.56	94628.60	94653.51	14400	0	30
2025.01.09	04:00:00	94653.49	94746.98	94611.55	94730.30	14400	0	30
2025.01.09	08:00:00	94730.28	94918.98	94691.74	94918.86	14400	0	30
2025.01.09	12:00:00	94918.84	94986.02	94878.54	94923.14	14400	0	30
2025.01.09	16:00:00	94923.12	95067.81	94922.88	95027.85	14400	0	30
2025.01.09	20:00:00	95027.83	95123.63	94997.55	95088.91	14400	0	30
2025.01.10	00:00:00	95088.89	95164.32	95074.27	95112.89	14400	0	30
2025.01.10	04:00:00	95112.87	95112.87	95004.55	95014.17	14401	0	30
2025.01.10	08:00:00	95014.15	95105.95	94972.47	95088.17	14400	0	30
2025.01.10	12:00:00	95088.15	95149.43	95031.67	95091.40	14400	0	30
2025.01.10	16:00:00	95091.38	95091.38	94971.97	94971.97	14400	0	30
2025.01.10	20:00:00	94971.95	95057.33	94939.91	94967.57	14400	0	30
2025.01.11	00:00:00	94967.55	95007.97	94915.22	94959.97	14400	0	30
2025.01.11	04:00:00	94959.95	94986.77	94903.21	94934.13	14400	0	30
2025.01.11	08:00:00	94934.11	94934.11	94799.20	94799.20	14400	0	30
2025.01.11	12:00:00	94799.18	95003.42	94787.31	94987.67	14400	0	30
2025.01.11	16:00:00	94987.65	95210.21	94957.28	95207.29	14400	0	30
2025.01.11	20:00:00	95207.27	95207.27	95003.96	95034.25	14400	0	30
2025.01.12	00:00:00	95034.23	95112.59	94965.53	95111.95	14400	0	30
2025.01.12	04:00:00	95111.93	95111.93	94904.16	94904.16	14253	0	30
2025.01.12	08:00:00	94904.14	94917.70	94830.17	94839.61	14333	0	30
2025.01.12	12:00:00	94839.59	94847.90	94771.09	94778.84	14400	0	30
2025.01.12	16:00:00	94778.82	94866.96	94699.48	94855.72	14400	0	30
2025.01.12	20:00:00	94855.70	94928.27	94837.01	94861.83	14400	0	30
2025.01.13	00:00:00	94861.81	94984.09	94848.76	94966.96	14400	0	30
2025.01.13	04:00:00	94966.94	95045.20	94915.96	94969.90	14396	0	30
2025.01.13	08:00:00	94969.88	95001.21	94889.60	94941.46	14400	0	30
2025.01.13	12:00:00	94941.44	95025.67	94906.24	94962.43	14400	0	30
2025.01.13	16:00:00	94962.41	95002.65	94857.91	94868.33	14400	0	30
2025.01.13	20:00:00	94868.31	94868.31	94736.42	94745.52	14400	0	30
2025.01.14	00:00:00	94745.50	94850.67	94702.12	94799.15	14401	0	30
2025.01.14	04:00:00	94799.13	94845.88	94760.39	94799.24	14400	0	30
2025.01.14	08:00:00	94799.22	94827.59	94723.09	94819.45	14400	0	30
2025.01.14	12:00:00	94819.43	94821.59	94702.35	94702.35	14400	0	30
2025.01.14	16:00:00	94702.33	94728.14	94609.62	94611.32	14400	0	30
2025.01.14	20:00:00	94611.30	94627.18	94487.79	94551.03	14400	0	30
2025.01.15	00:00:00	94551.01	94656.01	94541.76	94613.30	14400	0	30
2025.01.15	04:00:00	94613.28	94757.83	94585.84	94753.81	14400	0	30
2025.01.15	08:00:00	94753.79	94813.62	94575.53	94608.45	14400	0	30
2025.01.15	12:00:00	94608.43	94712.19	94540.39	94688.18	14400	0	30
2025.01.15	16:00:00	94688.16	94821.12	94682.43	94758.98	14400	0	30
2025.01.15	20:00:00	94758.96	94761.13	94644.88	94753.56	14400	0	30
