<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	102309.52	102311.80	102045.34	102263.64	14340	0	64
2025.01.01	04:00:00	102263.68	102576.57	102263.68	102524.87	14400	0	64
2025.01.01	08:00:00	102524.91	102741.66	102524.91	102700.19	14400	0	64
2025.01.01	12:00:00	102700.23	102785.97	102600.45	102785.97	14400	0	64
2025.01.01	16:00:00	102786.01	102958.23	102786.01	102950.04	14401	0	64
2025.01.01	20:00:00	102950.08	102960.33	102777.43	102849.39	14340	0	64
2025.01.02	00:00:00	102849.43	103036.00	102819.01	102992.96	14400	0	64
2025.01.02	04:00:00	102993.00	102993.88	102820.68	102949.87	14400	0	64
2025.01.02	08:00:00	102949.91	102968.83	102684.22	102716.59	14400	0	64
2025.01.02	12:00:00	102716.63	102841.08	102653.07	102812.00	14400	0	64
2025.01.02	16:00:00	102812.04	102903.07	102711.47	102773.58	14400	0	64
2025.01.02	20:00:00	102773.62	102834.48	102639.93	102723.64	14400	0	64
2025.01.03	00:00:00	102723.68	102852.41	102619.55	102781.03	14400	0	64
2025.01.03	04:00:00	102781.07	102979.96	102723.82	102967.64	14400	0	64
2025.01.03	08:00:00	102967.68	103067.43	102853.32	102920.90	14400	0	64
2025.01.03	12:00:00	102920.94	102937.34	102617.85	102658.83	14400	0	64
2025.01.03	16:00:00	102658.87	102744.77	102607.22	102729.82	14400	0	64
2025.01.03	20:00:00	102729.86	102874.58	102724.64	102726.96	14400	0	64
2025.01.04	00:00:00	102727.00	102820.52	102592.11	102686.92	14400	0	64
2025.01.04	04:00:00	102686.96	102784.42	102553.85	102555.49	14400	0	64
2025.01.04	08:00:00	102555.53	102736.30	102507.55	102563.47	14400	0	64
2025.01.04	12:00:00	102563.51	102751.08	102510.34	102695.58	14400	0	64
2025.01.04	16:00:00	102695.62	102813.86	102622.96	102813.86	14401	0	64
2025.01.04	20:00:00	102813.90	103041.69	102700.64	103041.69	14400	0	64
2025.01.05	00:00:00	103041.73	103230.45	102960.48	103044.30	14400	0	64
2025.01.05	04:00:00	103044.34	103191.41	102977.87	102987.03	14335	0	64
2025.01.05	08:00:00	102987.07	103163.18	102870.80	102887.00	14400	0	64
2025.01.05	12:00:00	102887.04	103132.17	102853.60	103132.17	14282	0	64
2025.01.05	16:00:00	103132.21	103137.65	102959.52	102986.00	14400	0	64
2025.01.05	20:00:00	102986.04	103013.94	102807.29	102916.10	14400	0	64
2025.01.06	00:00:00	102916.14	102997.37	102873.12	102932.14	14400	0	64
2025.01.06	04:00:00	102932.18	103060.18	102772.07	102804.63	14400	0	64
2025.01.06	08:00:00	102804.67	102885.48	102747.53	102754.81	14278	0	64
2025.01.06	12:00:00	102754.85	102894.79	102705.09	102803.09	14400	0	64
2025.01.06	16:00:00	102803.13	102823.33	102670.19	102755.21	14400	0	64
2025.01.06	20:00:00	102755.25	102850.87	102642.84	102707.09	14400	0	64
2025.01.07	00:00:00	102707.13	102948.54	102694.86	102948.54	14401	0	64
2025.01.07	04:00:00	102948.58	103006.25	102696.45	102807.79	14400	0	64
2025.01.07	08:00:00	102807.83	103009.97	102657.66	102688.18	14400	0	64
2025.01.07	12:00:00	102688.22	102796.54	102670.71	102695.20	14400	0	64
2025.01.07	16:00:00	102695.24	102731.37	102474.82	102543.11	14400	0	64
2025.01.07	20:00:00	102543.15	102559.19	102379.15	102417.25	14400	0	64
2025.01.08	00:00:00	102417.29	102538.35	102212.39	102256.55	14400	0	64
2025.01.08	04:00:00	102256.59	102265.55	102067.38	102092.66	14400	0	64
2025.01.08	08:00:00	102092.70	102278.11	102082.74	102128.42	14400	0	64
2025.01.08	12:00:00	102128.46	102335.75	102075.51	102279.65	14400	0	64
