<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	102309.52	102311.80	102045.34	102117.54	3540	0	64
2025.01.01	01:00:00	102117.58	102149.19	102055.19	102149.19	3600	0	64
2025.01.01	02:00:00	102149.23	102221.91	102148.99	102185.27	3600	0	64
2025.01.01	03:00:00	102185.31	102302.99	102185.31	102263.64	3600	0	64
2025.01.01	04:00:00	102263.68	102349.24	102263.68	102349.24	3600	0	64
2025.01.01	05:00:00	102349.28	102436.10	102341.14	102436.10	3600	0	64
2025.01.01	06:00:00	102436.14	102507.67	102396.79	102477.60	3600	0	64
2025.01.01	07:00:00	102477.64	102576.57	102458.17	102524.87	3600	0	64
2025.01.01	08:00:00	102524.91	102632.31	102524.91	102580.75	3600	0	64
2025.01.01	09:00:00	102580.79	102696.12	102580.79	102696.12	3600	0	64
2025.01.01	10:00:00	102696.16	102717.96	102629.66	102684.74	3600	0	64
2025.01.01	11:00:00	102684.78	102741.66	102650.19	102700.19	3600	0	64
2025.01.01	12:00:00	102700.23	102743.07	102635.62	102638.78	3600	0	64
2025.01.01	13:00:00	102638.82	102707.74	102631.67	102642.22	3600	0	64
2025.01.01	14:00:00	102642.26	102701.97	102600.45	102641.97	3600	0	64
2025.01.01	15:00:00	102642.01	102785.97	102642.01	102785.97	3600	0	64
2025.01.01	16:00:00	102786.01	102889.88	102786.01	102854.50	3600	0	64
2025.01.01	17:00:00	102854.54	102937.26	102854.54	102884.84	3600	0	64
2025.01.01	18:00:00	102884.88	102958.23	102857.39	102906.81	3600	0	64
2025.01.01	19:00:00	102906.85	102950.04	102863.26	102950.04	3601	0	64
2025.01.01	20:00:00	102950.08	102960.33	102787.49	102811.73	3600	0	64
2025.01.01	21:00:00	102811.77	102911.08	102811.77	102911.08	3600	0	64
2025.01.01	22:00:00	102911.12	102958.84	102833.54	102840.78	3600	0	64
2025.01.01	23:00:00	102840.82	102858.54	102777.43	102849.39	3540	0	64
2025.01.02	00:00:00	102849.43	102929.72	102819.01	102882.29	3600	0	64
2025.01.02	01:00:00	102882.33	103002.49	102882.33	102978.24	3600	0	64
2025.01.02	02:00:00	102978.28	103036.00	102833.21	102871.93	3600	0	64
2025.01.02	03:00:00	102871.97	102992.96	102871.97	102992.96	3600	0	64
