<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	94178.90	94181.18	94133.03	94145.81	3540	0	42
2025.01.01	01:00:00	94145.78	94163.01	94093.15	94093.15	3600	0	42
2025.01.01	02:00:00	94093.12	94093.12	94028.77	94028.77	3600	0	42
2025.01.01	03:00:00	94028.74	94084.11	94028.29	94038.36	3600	0	42
2025.01.01	04:00:00	94038.33	94060.73	93997.79	94016.95	3600	0	42
2025.01.01	05:00:00	94016.92	94038.52	93973.42	94013.23	3600	0	42
2025.01.01	06:00:00	94013.20	94063.44	94012.99	94053.09	3600	0	42
2025.01.01	07:00:00	94053.06	94053.06	94014.69	94014.69	3600	0	42
2025.01.01	08:00:00	94014.66	94119.56	93992.70	94081.40	3600	0	42
2025.01.01	09:00:00	94081.37	94105.41	94041.92	94041.92	3600	0	42
2025.01.01	10:00:00	94041.89	94052.65	93970.51	93970.51	3600	0	42
2025.01.01	11:00:00	93970.48	93970.48	93918.63	93950.03	3600	0	42
2025.01.01	12:00:00	93950.00	93997.69	93941.83	93965.15	3600	0	42
2025.01.01	13:00:00	93965.12	93965.12	93901.54	93901.54	3600	0	42
2025.01.01	14:00:00	93901.51	93963.26	93871.12	93904.19	3600	0	42
2025.01.01	15:00:00	93904.16	93904.16	93828.77	93828.77	3600	0	42
2025.01.01	16:00:00	93828.74	93856.47	93778.92	93841.20	3600	0	42
2025.01.01	17:00:00	93841.17	93954.81	93815.19	93916.59	3600	0	42
2025.01.01	18:00:00	93916.56	93992.40	93906.81	93970.35	3600	0	42
2025.01.01	19:00:00	93970.32	94007.30	93959.37	93987.58	3601	0	42
2025.01.01	20:00:00	93987.55	93990.62	93932.30	93932.30	3600	0	42
2025.01.01	21:00:00	93932.27	94059.27	93929.66	94038.36	3600	0	42
2025.01.01	22:00:00	94038.33	94099.46	94021.14	94060.25	3600	0	42
2025.01.01	23:00:00	94060.22	94063.46	94012.16	94052.11	3540	0	42
2025.01.02	00:00:00	94052.08	94066.48	94000.78	94049.23	3600	0	42
2025.01.02	01:00:00	94049.20	94049.20	93983.07	94008.90	3600	0	42
2025.01.02	02:00:00	94008.87	94052.65	93989.89	94012.15	3600	0	42
2025.01.02	03:00:00	94012.12	94012.12	93945.34	93970.19	3600	0	42
2025.01.02	04:00:00	93970.16	93970.16	93896.43	93934.60	3600	0	42
2025.01.02	05:00:00	93934.57	93960.06	93879.85	93879.85	3600	0	42
2025.01.02	06:00:00	93879.82	93933.80	93858.53	93858.53	3600	0	42
2025.01.02	07:00:00	93858.50	93896.08	93833.20	93841.60	3600	0	42
2025.01.02	08:00:00	93841.57	93856.33	93770.90	93770.90	3600	0	42
2025.01.02	09:00:00	93770.87	93778.01	93724.16	93773.03	3600	0	42
2025.01.02	10:00:00	93773.00	93860.99	93751.22	93850.01	3600	0	42
2025.01.02	11:00:00	93849.98	93854.20	93765.10	93765.10	3600	0	42
2025.01.02	12:00:00	93765.07	93811.75	93746.44	93802.09	3600	0	42
2025.01.02	13:00:00	93802.06	93921.83	93786.82	93917.39	3600	0	42
2025.01.02	14:00:00	93917.36	93963.89	93901.03	93901.03	3600	0	42
2025.01.02	15:00:00	93901.00	93925.23	93860.88	93920.33	3600	0	42
2025.01.02	16:00:00	93920.30	93939.79	93885.81	93885.81	3600	0	42
2025.01.02	17:00:00	93885.78	93897.93	93837.45	93861.13	3600	0	42
2025.01.02	18:00:00	93861.10	93861.10	93816.54	93835.94	3600	0	42
2025.01.02	19:00:00	93835.91	94006.08	93829.23	94002.93	3600	0	42
2025.01.02	20:00:00	94002.90	94033.82	93989.78	93989.78	3600	0	42
2025.01.02	21:00:00	93989.75	94097.04	93981.65	94079.95	3600	0	42
2025.01.02	22:00:00	94079.92	94134.44	94059.57	94111.16	3600	0	42
2025.01.02	23:00:00	94111.13	94117.20	94060.86	94060.86	3600	0	42
2025.01.03	00:00:00	94060.83	94080.19	94004.94	94004.94	3600	0	42
2025.01.03	01:00:00	94004.91	94086.42	94003.26	94079.23	3600	0	42
2025.01.03	02:00:00	94079.20	94098.02	94048.87	94079.21	3600	0	42
2025.01.03	03:00:00	94079.18	94079.18	94021.33	94024.95	3600	0	42
