<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	94178.90	94178.90	94153.73	94153.73	840	0	42
2025.01.01	00:15:00	94153.70	94168.53	94133.03	94162.26	900	0	42
2025.01.01	00:30:00	94162.23	94181.18	94155.09	94172.81	900	0	42
2025.01.01	00:45:00	94172.78	94172.78	94145.81	94145.81	900	0	42
2025.01.01	01:00:00	94145.78	94163.01	94139.39	94142.46	900	0	42
2025.01.01	01:15:00	94142.43	94142.43	94115.46	94115.46	900	0	42
2025.01.01	01:30:00	94115.43	94143.55	94111.89	94120.15	900	0	42
2025.01.01	01:45:00	94120.12	94120.12	94093.15	94093.15	900	0	42
2025.01.01	02:00:00	94093.12	94093.12	94066.15	94066.15	900	0	42
2025.01.01	02:15:00	94066.12	94070.70	94050.13	94059.75	900	0	42
2025.01.01	02:30:00	94059.72	94062.31	94039.32	94055.77	900	0	42
2025.01.01	02:45:00	94055.74	94055.74	94028.77	94028.77	900	0	42
2025.01.01	03:00:00	94028.74	94084.11	94028.29	94066.68	900	0	42
2025.01.01	03:15:00	94066.65	94081.69	94047.93	94073.47	900	0	42
2025.01.01	03:30:00	94073.44	94073.44	94049.23	94065.36	900	0	42
2025.01.01	03:45:00	94065.33	94065.33	94038.36	94038.36	900	0	42
2025.01.01	04:00:00	94038.33	94054.80	94032.03	94032.03	900	0	42
2025.01.01	04:15:00	94032.00	94060.73	94025.13	94040.66	900	0	42
2025.01.01	04:30:00	94040.63	94040.63	94013.66	94013.66	900	0	42
2025.01.01	04:45:00	94013.63	94028.05	93997.79	94016.95	900	0	42
2025.01.01	05:00:00	94016.92	94016.92	93989.95	93989.95	900	0	42
2025.01.01	05:15:00	93989.92	93993.26	93973.42	93982.82	900	0	42
2025.01.01	05:30:00	93982.79	94021.65	93977.63	94010.76	900	0	42
2025.01.01	05:45:00	94010.73	94038.52	94009.08	94013.23	900	0	42
