<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	94471.81	94647.42	94064.33	94113.46	86281	0	52
2025.01.02	94113.52	94441.88	94032.74	94132.14	86400	0	52
2025.01.03	94132.20	94175.98	93709.02	93918.57	86400	0	52
2025.01.04	93918.63	94605.87	93785.65	94437.88	86401	0	52
2025.01.05	94437.94	94477.17	94060.55	94114.37	86219	0	52
2025.01.06	94114.43	94317.90	93942.42	94292.28	86278	0	52
2025.01.07	94292.34	94788.09	93996.36	94747.57	86401	0	52
2025.01.08	94747.63	94990.30	94595.46	94908.03	86400	0	52
2025.01.09	94908.09	95047.92	94336.79	94420.13	86400	0	52
2025.01.10	94420.19	94576.81	93647.88	93715.22	86401	0	52
2025.01.11	93715.28	94209.01	93541.52	94192.33	86400	0	52
2025.01.12	94192.39	94401.08	93501.69	93524.07	86192	0	52
2025.01.13	93524.13	93667.17	93296.07	93428.63	86396	0	52
2025.01.14	93428.69	93904.45	93428.69	93762.32	86401	0	52
2025.01.15	93762.38	94503.54	93588.58	94253.76	86378	0	52
2025.01.16	94253.82	95074.44	94178.15	95074.44	86400	0	52
2025.01.17	95074.50	95358.48	95026.03	95223.99	86401	0	52
2025.01.18	95224.05	95633.56	95074.04	95436.37	86376	0	52
2025.01.19	95436.43	95436.55	95039.55	95100.39	86337	0	52
2025.01.20	95100.45	95487.74	94930.27	95384.24	86278	0	52
2025.01.21	95384.30	95487.63	94998.88	95325.30	86401	0	52
2025.01.22	95325.36	95542.99	95048.68	95059.24	86400	0	52
2025.01.23	95059.30	95138.50	94371.34	94626.93	86400	0	52
2025.01.24	94626.99	94653.99	93618.94	93860.29	86401	0	52
2025.01.25	93860.35	94326.12	93860.35	94131.96	86382	0	52
2025.01.26	94132.02	94642.68	94005.22	94149.35	86336	0	52
2025.01.27	94149.41	94425.76	93815.77	93867.62	86236	0	52
2025.01.28	93867.68	94297.27	93860.09	94145.04	86297	0	52
2025.01.29	94145.10	94487.46	94066.25	94205.37	86400	0	52
2025.01.30	94205.43	94276.29	93984.09	94020.39	86400	0	52
2025.01.31	94020.45	94406.04	93916.80	94184.09	86401	0	52
2025.02.01	94184.15	94321.17	93325.57	93340.27	85766	0	52
2025.02.02	93340.33	93674.77	93182.44	93674.77	86336	0	52
2025.02.03	93674.83	93919.76	93388.84	93460.93	86400	0	52
2025.02.04	93460.99	93772.15	93431.83	93725.35	86401	0	52
2025.02.05	93725.41	94025.84	93510.31	93713.82	86400	0	52
2025.02.06	93713.88	93779.22	93360.93	93379.95	86400	0	52
2025.02.07	93380.01	93490.22	92865.54	93058.42	86400	0	52
2025.02.08	93058.48	93282.57	92776.78	92929.31	86401	0	52
