<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	94471.81	94528.61	94377.70	94386.98	14340	0	52
2025.01.01	04:00:00	94387.04	94489.59	94261.66	94489.59	14400	0	52
2025.01.01	08:00:00	94489.65	94647.42	94440.85	94532.20	14400	0	52
2025.01.01	12:00:00	94532.26	94556.51	94221.32	94248.76	14400	0	52
2025.01.01	16:00:00	94248.82	94288.75	94093.25	94149.27	14401	0	52
2025.01.01	20:00:00	94149.33	94250.49	94064.33	94113.46	14340	0	52
2025.01.02	00:00:00	94113.52	94330.26	94032.74	94180.96	14400	0	52
2025.01.02	04:00:00	94181.02	94440.34	94148.29	94331.17	14400	0	52
2025.01.02	08:00:00	94331.23	94412.11	94151.27	94313.53	14400	0	52
2025.01.02	12:00:00	94313.59	94441.88	94252.86	94347.95	14400	0	52
2025.01.02	16:00:00	94348.01	94410.27	94243.07	94281.25	14400	0	52
2025.01.02	20:00:00	94281.31	94299.97	94066.83	94132.14	14400	0	52
2025.01.03	00:00:00	94132.20	94175.98	93963.88	94020.45	14400	0	52
2025.01.03	04:00:00	94020.51	94119.89	93803.36	93861.97	14400	0	52
2025.01.03	08:00:00	93862.03	93973.08	93815.15	93897.26	14400	0	52
2025.01.03	12:00:00	93897.32	93902.94	93709.02	93830.45	14400	0	52
2025.01.03	16:00:00	93830.51	94005.92	93808.94	93939.91	14400	0	52
2025.01.03	20:00:00	93939.97	93982.26	93750.52	93918.57	14400	0	52
2025.01.04	00:00:00	93918.63	94023.05	93785.65	93887.77	14400	0	52
2025.01.04	04:00:00	93887.83	94083.98	93870.82	94071.61	14400	0	52
2025.01.04	08:00:00	94071.67	94367.06	94031.09	94272.80	14400	0	52
2025.01.04	12:00:00	94272.86	94566.30	94272.86	94478.43	14400	0	52
2025.01.04	16:00:00	94478.49	94605.87	94359.44	94361.12	14401	0	52
2025.01.04	20:00:00	94361.18	94489.22	94262.84	94437.88	14400	0	52
2025.01.05	00:00:00	94437.94	94443.22	94172.44	94229.77	14400	0	52
2025.01.05	04:00:00	94229.83	94436.16	94145.24	94166.66	14336	0	52
2025.01.05	08:00:00	94166.72	94438.16	94166.72	94369.73	14400	0	52
2025.01.05	12:00:00	94369.79	94477.17	94253.27	94258.61	14283	0	52
2025.01.05	16:00:00	94258.67	94324.48	94060.55	94178.94	14400	0	52
2025.01.05	20:00:00	94179.00	94244.54	94065.42	94114.37	14400	0	52
2025.01.06	00:00:00	94114.43	94197.63	94047.65	94098.79	14400	0	52
2025.01.06	04:00:00	94098.85	94149.49	93942.42	94101.61	14400	0	52
2025.01.06	08:00:00	94101.67	94148.80	93975.59	94079.05	14278	0	52
2025.01.06	12:00:00	94079.11	94259.80	94037.37	94194.40	14400	0	52
2025.01.06	16:00:00	94194.46	94317.90	94144.75	94218.64	14400	0	52
2025.01.06	20:00:00	94218.70	94301.14	94095.81	94292.28	14400	0	52
2025.01.07	00:00:00	94292.34	94361.50	94141.88	94161.08	14401	0	52
2025.01.07	04:00:00	94161.14	94279.06	94007.14	94247.01	14400	0	52
2025.01.07	08:00:00	94247.07	94287.55	93996.36	94021.38	14400	0	52
2025.01.07	12:00:00	94021.44	94339.27	94021.44	94313.48	14400	0	52
2025.01.07	16:00:00	94313.54	94604.51	94257.40	94574.50	14400	0	52
2025.01.07	20:00:00	94574.56	94788.09	94570.41	94747.57	14400	0	52
2025.01.08	00:00:00	94747.63	94809.33	94595.46	94754.56	14400	0	52
2025.01.08	04:00:00	94754.62	94915.37	94754.62	94844.37	14400	0	52
2025.01.08	08:00:00	94844.43	94990.30	94768.53	94843.40	14400	0	52
2025.01.08	12:00:00	94843.46	94877.90	94664.33	94685.51	14400	0	52
2025.01.08	16:00:00	94685.57	94884.15	94622.21	94626.77	14400	0	52
2025.01.08	20:00:00	94626.83	94936.42	94612.46	94908.03	14400	0	52
2025.01.09	00:00:00	94908.09	94941.69	94761.20	94898.06	14400	0	52
2025.01.09	04:00:00	94898.12	95047.92	94684.89	95030.58	14400	0	52
2025.01.09	08:00:00	95030.64	95044.98	94679.22	94701.78	14400	0	52
2025.01.09	12:00:00	94701.84	94781.16	94469.78	94497.26	14400	0	52
2025.01.09	16:00:00	94497.32	94585.68	94379.50	94418.17	14400	0	52
2025.01.09	20:00:00	94393.18	94643.64	94336.79	94420.13	14400	0	52
2025.01.10	00:00:00	94420.19	94576.81	94338.00	94467.64	14400	0	52
2025.01.10	04:00:00	94467.70	94485.58	94027.58	94095.68	14401	0	52
2025.01.10	08:00:00	94095.74	94184.88	94044.27	94145.65	14400	0	52
2025.01.10	12:00:00	94145.71	94152.67	93837.31	93848.18	14400	0	52
2025.01.10	16:00:00	93848.24	93861.43	93707.84	93780.61	14400	0	52
2025.01.10	20:00:00	93780.67	93817.15	93647.88	93715.22	14400	0	52
2025.01.11	00:00:00	93715.28	93802.66	93613.84	93750.69	14400	0	52
2025.01.11	04:00:00	93750.75	93770.96	93606.95	93681.13	14400	0	52
2025.01.11	08:00:00	93681.19	93753.13	93551.11	93673.20	14400	0	52
2025.01.11	12:00:00	93673.26	93690.08	93541.52	93635.16	14400	0	52
2025.01.11	16:00:00	93635.22	93893.66	93547.51	93855.78	14400	0	52
2025.01.11	20:00:00	93855.84	94209.01	93855.84	94192.33	14400	0	52
2025.01.12	00:00:00	94192.39	94252.42	94059.02	94186.50	14400	0	52
2025.01.12	04:00:00	94186.56	94349.64	94135.48	94348.61	14257	0	52
2025.01.12	08:00:00	94348.67	94401.08	94058.26	94067.02	14335	0	52
2025.01.12	12:00:00	94067.08	94119.74	93907.40	94019.24	14400	0	52
2025.01.12	16:00:00	94019.30	94048.82	93805.66	93868.67	14400	0	52
2025.01.12	20:00:00	93868.73	93915.41	93501.69	93524.07	14400	0	52
2025.01.13	00:00:00	93524.13	93667.17	93441.11	93452.15	14400	0	52
2025.01.13	04:00:00	93452.21	93609.70	93441.95	93489.27	14396	0	52
2025.01.13	08:00:00	93489.33	93617.27	93374.55	93392.63	14400	0	52
2025.01.13	12:00:00	93392.69	93508.86	93296.07	93450.47	14400	0	52
2025.01.13	16:00:00	93450.53	93493.91	93305.78	93429.96	14400	0	52
2025.01.13	20:00:00	93430.02	93512.06	93372.79	93428.63	14400	0	52
2025.01.14	00:00:00	93428.69	93677.74	93428.69	93555.92	14401	0	52
2025.01.14	04:00:00	93555.98	93600.31	93469.10	93544.96	14400	0	52
2025.01.14	08:00:00	93545.02	93623.66	93494.07	93589.32	14400	0	52
2025.01.14	12:00:00	93589.38	93806.13	93520.71	93806.13	14400	0	52
2025.01.14	16:00:00	93806.19	93904.45	93590.35	93611.65	14400	0	52
2025.01.14	20:00:00	93611.71	93762.32	93542.22	93762.32	14400	0	52
2025.01.15	00:00:00	93762.38	93786.20	93588.58	93674.21	14400	0	52
2025.01.15	04:00:00	93674.27	94003.55	93666.75	93976.07	14400	0	52
2025.01.15	08:00:00	93976.13	94141.69	93952.65	94038.11	14400	0	52
2025.01.15	12:00:00	94038.17	94270.25	94038.17	94253.21	14378	0	52
2025.01.15	16:00:00	94253.27	94324.44	94199.30	94316.47	14400	0	52
2025.01.15	20:00:00	94316.53	94503.54	94198.79	94253.76	14400	0	52
2025.01.16	00:00:00	94253.82	94480.01	94178.15	94447.02	14400	0	52
2025.01.16	04:00:00	94447.08	94563.78	94264.46	94539.39	14400	0	52
2025.01.16	08:00:00	94539.45	94670.61	94451.58	94588.93	14400	0	52
2025.01.16	12:00:00	94588.99	94741.89	94584.74	94695.84	14400	0	52
2025.01.16	16:00:00	94695.90	94809.74	94676.10	94795.48	14400	0	52
2025.01.16	20:00:00	94795.54	95074.44	94791.46	95074.44	14400	0	52
2025.01.17	00:00:00	95074.50	95250.86	95026.03	95146.07	14400	0	52
2025.01.17	04:00:00	95146.13	95342.20	95114.18	95327.53	14401	0	52
2025.01.17	08:00:00	95327.59	95358.48	95231.93	95304.42	14400	0	52
2025.01.17	12:00:00	95304.48	95336.29	95135.96	95290.37	14400	0	52
2025.01.17	16:00:00	95290.43	95345.81	95188.59	95283.08	14400	0	52
2025.01.17	20:00:00	95283.14	95318.02	95119.11	95223.99	14400	0	52
2025.01.18	00:00:00	95224.05	95279.75	95074.04	95263.64	14400	0	52
2025.01.18	04:00:00	95263.70	95454.10	95093.69	95454.10	14400	0	52
2025.01.18	08:00:00	95454.16	95633.56	95280.35	95334.30	14376	0	52
2025.01.18	12:00:00	95334.36	95411.67	95173.57	95225.27	14400	0	52
2025.01.18	16:00:00	95225.33	95484.42	95195.92	95476.01	14400	0	52
2025.01.18	20:00:00	95476.07	95545.10	95324.00	95436.37	14400	0	52
2025.01.19	00:00:00	95436.43	95436.55	95270.82	95297.40	14400	0	52
2025.01.19	04:00:00	95297.46	95327.46	95137.42	95274.42	14337	0	52
2025.01.19	08:00:00	95274.48	95335.64	95161.75	95191.99	14400	0	52
2025.01.19	12:00:00	95192.05	95304.80	95136.95	95212.39	14400	0	52
2025.01.19	16:00:00	95212.45	95263.17	95113.54	95222.89	14400	0	52
2025.01.19	20:00:00	95222.95	95273.71	95039.55	95100.39	14400	0	52
2025.01.20	00:00:00	95100.45	95122.09	94930.27	94972.65	14400	0	52
2025.01.20	04:00:00	94972.71	95308.35	94970.73	95194.38	14400	0	52
2025.01.20	08:00:00	95194.44	95350.74	95194.44	95275.13	14400	0	52
2025.01.20	12:00:00	95275.19	95397.29	95107.33	95157.83	14278	0	52
2025.01.20	16:00:00	95157.89	95487.74	95108.15	95388.66	14400	0	52
2025.01.20	20:00:00	95388.72	95403.13	95294.73	95384.24	14400	0	52
2025.01.21	00:00:00	95384.30	95468.62	95252.97	95341.87	14400	0	52
2025.01.21	04:00:00	95341.93	95487.63	95162.33	95183.63	14400	0	52
2025.01.21	08:00:00	95183.69	95346.39	95134.74	95209.64	14400	0	52
2025.01.21	12:00:00	95209.70	95212.16	94998.88	95037.72	14400	0	52
2025.01.21	16:00:00	95037.78	95302.84	95031.40	95300.93	14401	0	52
2025.01.21	20:00:00	95300.99	95393.76	95168.41	95325.30	14400	0	52
2025.01.22	00:00:00	95325.36	95511.44	95325.36	95468.01	14400	0	52
2025.01.22	04:00:00	95468.07	95542.99	95279.94	95447.85	14400	0	52
2025.01.22	08:00:00	95447.91	95473.00	95279.76	95365.59	14400	0	52
2025.01.22	12:00:00	95365.65	95517.31	95257.60	95284.30	14400	0	52
2025.01.22	16:00:00	95284.36	95387.42	95202.52	95271.46	14400	0	52
2025.01.22	20:00:00	95271.52	95324.74	95048.68	95059.24	14400	0	52
2025.01.23	00:00:00	95059.30	95092.39	94930.72	95027.74	14400	0	52
2025.01.23	04:00:00	95027.80	95099.66	94874.64	95037.81	14400	0	52
2025.01.23	08:00:00	95037.87	95138.50	94934.65	95032.59	14400	0	52
2025.01.23	12:00:00	95032.65	95060.84	94696.25	94732.91	14400	0	52
2025.01.23	16:00:00	94732.97	94801.66	94648.07	94649.69	14400	0	52
2025.01.23	20:00:00	94649.75	94702.82	94371.34	94626.93	14400	0	52
2025.01.24	00:00:00	94626.99	94653.99	94116.12	94137.84	14400	0	52
2025.01.24	04:00:00	94137.90	94213.20	93941.83	94054.51	14400	0	52
2025.01.24	08:00:00	94054.57	94108.45	93801.11	93820.07	14400	0	52
2025.01.24	12:00:00	93820.13	93822.83	93632.64	93783.52	14400	0	52
2025.01.24	16:00:00	93783.58	93821.14	93618.94	93694.49	14400	0	52
2025.01.24	20:00:00	93694.55	93924.47	93694.55	93860.29	14401	0	52
2025.01.25	00:00:00	93860.35	94076.93	93860.35	94063.98	14400	0	52
2025.01.25	04:00:00	94064.04	94160.83	93990.41	94129.90	14400	0	52
2025.01.25	08:00:00	94129.96	94224.32	94062.12	94081.75	14400	0	52
2025.01.25	12:00:00	94081.81	94132.86	93960.61	93969.73	14400	0	52
2025.01.25	16:00:00	93969.79	94148.24	93913.80	94098.38	14400	0	52
2025.01.25	20:00:00	94098.44	94326.12	94098.44	94131.96	14382	0	52
2025.01.26	00:00:00	94132.02	94305.75	94005.22	94203.51	14400	0	52
2025.01.26	04:00:00	94203.57	94516.81	94201.19	94436.34	14336	0	52
2025.01.26	08:00:00	94436.40	94566.68	94404.57	94533.02	14400	0	52
2025.01.26	12:00:00	94533.08	94642.68	94313.78	94325.00	14400	0	52
2025.01.26	16:00:00	94325.06	94343.31	94148.64	94276.77	14400	0	52
2025.01.26	20:00:00	94276.83	94295.27	94053.48	94149.35	14400	0	52
2025.01.27	00:00:00	94149.41	94269.30	94102.22	94237.00	14400	0	52
2025.01.27	04:00:00	94237.06	94272.27	94138.26	94272.27	14400	0	52
2025.01.27	08:00:00	94272.33	94412.96	94266.50	94349.50	14400	0	52
2025.01.27	12:00:00	94349.56	94422.56	94154.21	94287.15	14299	0	52
2025.01.27	16:00:00	94287.21	94425.76	94022.10	94085.82	14337	0	52
2025.01.27	20:00:00	94085.88	94103.48	93815.77	93867.62	14400	0	52
2025.01.28	00:00:00	93867.68	94089.94	93867.68	94074.21	14400	0	52
2025.01.28	04:00:00	94074.27	94163.65	93992.53	94069.42	14400	0	52
2025.01.28	08:00:00	94069.48	94187.36	93860.09	93904.01	14297	0	52
2025.01.28	12:00:00	93904.07	94063.48	93870.92	94023.60	14400	0	52
2025.01.28	16:00:00	94023.66	94206.07	94023.66	94150.86	14400	0	52
2025.01.28	20:00:00	94150.92	94297.27	94106.55	94145.04	14400	0	52
2025.01.29	00:00:00	94145.10	94487.46	94145.10	94413.53	14400	0	52
2025.01.29	04:00:00	94413.59	94464.95	94198.97	94269.98	14400	0	52
2025.01.29	08:00:00	94270.04	94397.56	94137.88	94169.42	14400	0	52
2025.01.29	12:00:00	94169.48	94335.86	94124.21	94196.80	14400	0	52
2025.01.29	16:00:00	94196.86	94234.28	94118.58	94178.34	14400	0	52
2025.01.29	20:00:00	94178.40	94210.17	94066.25	94205.37	14400	0	52
2025.01.30	00:00:00	94205.43	94255.19	94039.48	94174.31	14400	0	52
2025.01.30	04:00:00	94174.37	94251.35	93985.23	94072.80	14400	0	52
2025.01.30	08:00:00	94072.86	94276.29	94049.73	94217.63	14400	0	52
2025.01.30	12:00:00	94217.69	94247.02	94062.72	94089.03	14400	0	52
2025.01.30	16:00:00	94089.09	94160.13	93984.09	94096.33	14400	0	52
2025.01.30	20:00:00	94096.39	94182.96	93990.76	94020.39	14400	0	52
2025.01.31	00:00:00	94020.45	94189.76	93916.80	94189.76	14400	0	52
2025.01.31	04:00:00	94189.82	94308.77	94139.56	94308.77	14400	0	52
2025.01.31	08:00:00	94308.83	94406.04	94235.75	94377.44	14400	0	52
2025.01.31	12:00:00	94377.50	94403.82	94287.42	94385.62	14401	0	52
2025.01.31	16:00:00	94385.68	94402.52	94230.07	94294.72	14400	0	52
2025.01.31	20:00:00	94294.78	94365.26	94157.03	94184.09	14400	0	52
2025.02.01	00:00:00	94184.15	94321.17	94167.75	94179.62	14400	0	52
2025.02.01	04:00:00	94179.68	94263.82	93913.30	94009.76	14400	0	52
2025.02.01	08:00:00	94009.82	94014.29	93436.25	93444.98	13765	0	52
2025.02.01	12:00:00	93445.04	93526.27	93371.15	93500.03	14401	0	52
2025.02.01	16:00:00	93500.09	93573.87	93400.45	93511.48	14400	0	52
2025.02.01	20:00:00	93511.54	93538.65	93325.57	93340.27	14400	0	52
2025.02.02	00:00:00	93340.33	93401.70	93182.44	93270.05	14400	0	52
2025.02.02	04:00:00	93270.11	93418.36	93235.28	93404.21	14336	0	52
2025.02.02	08:00:00	93404.27	93592.53	93308.22	93486.28	14400	0	52
2025.02.02	12:00:00	93486.34	93644.09	93465.11	93542.64	14400	0	52
2025.02.02	16:00:00	93542.70	93595.45	93436.33	93595.45	14400	0	52
2025.02.02	20:00:00	93595.51	93674.77	93483.81	93674.77	14400	0	52
2025.02.03	00:00:00	93674.83	93760.18	93548.75	93696.34	14400	0	52
2025.02.03	04:00:00	93696.40	93736.23	93600.27	93707.42	14400	0	52
2025.02.03	08:00:00	93707.48	93773.03	93612.85	93770.07	14400	0	52
2025.02.03	12:00:00	93770.13	93919.76	93620.99	93629.87	14400	0	52
2025.02.03	16:00:00	93629.93	93635.93	93388.84	93567.87	14400	0	52
2025.02.03	20:00:00	93567.93	93672.30	93410.90	93460.93	14400	0	52
2025.02.04	00:00:00	93460.99	93748.67	93460.99	93697.54	14400	0	52
2025.02.04	04:00:00	93697.60	93772.15	93555.83	93586.25	14400	0	52
2025.02.04	08:00:00	93586.31	93707.25	93508.08	93694.01	14400	0	52
2025.02.04	12:00:00	93694.07	93766.70	93611.70	93691.92	14400	0	52
2025.02.04	16:00:00	93691.98	93726.42	93431.83	93458.05	14401	0	52
2025.02.04	20:00:00	93458.11	93733.10	93457.96	93725.35	14400	0	52
2025.02.05	00:00:00	93725.41	93895.93	93725.41	93844.41	14400	0	52
2025.02.05	04:00:00	93844.47	94010.49	93844.47	93949.06	14400	0	52
2025.02.05	08:00:00	93949.12	94025.84	93757.75	93825.46	14400	0	52
2025.02.05	12:00:00	93825.52	93907.47	93737.98	93829.35	14400	0	52
2025.02.05	16:00:00	93829.41	93851.17	93620.35	93642.34	14400	0	52
2025.02.05	20:00:00	93642.40	93713.82	93510.31	93713.82	14400	0	52
2025.02.06	00:00:00	93713.88	93779.22	93597.48	93713.08	14400	0	52
2025.02.06	04:00:00	93713.14	93716.74	93500.10	93533.66	14400	0	52
2025.02.06	08:00:00	93533.72	93649.55	93448.16	93618.76	14400	0	52
2025.02.06	12:00:00	93618.82	93747.34	93514.01	93545.09	14400	0	52
2025.02.06	16:00:00	93545.15	93560.15	93385.32	93447.39	14400	0	52
2025.02.06	20:00:00	93447.45	93610.31	93360.93	93379.95	14400	0	52
