<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	94471.81	94501.42	94434.55	94443.19	3540	0	52
2025.01.01	01:00:00	94443.25	94528.61	94422.68	94447.04	3600	0	52
2025.01.01	02:00:00	94447.10	94486.42	94402.20	94486.42	3600	0	52
2025.01.01	03:00:00	94486.48	94505.11	94377.70	94386.98	3600	0	52
2025.01.01	04:00:00	94387.04	94451.70	94382.97	94398.66	3600	0	52
2025.01.01	05:00:00	94398.72	94412.28	94299.26	94305.98	3600	0	52
2025.01.01	06:00:00	94306.04	94394.90	94261.66	94394.90	3600	0	52
2025.01.01	07:00:00	94394.96	94489.59	94348.18	94489.59	3600	0	52
2025.01.01	08:00:00	94489.65	94538.20	94453.24	94532.07	3600	0	52
2025.01.01	09:00:00	94532.13	94595.79	94485.11	94567.58	3600	0	52
2025.01.01	10:00:00	94567.64	94647.42	94528.41	94541.98	3600	0	52
2025.01.01	11:00:00	94542.04	94550.26	94440.85	94532.20	3600	0	52
2025.01.01	12:00:00	94532.26	94556.51	94404.22	94425.72	3600	0	52
2025.01.01	13:00:00	94425.78	94442.24	94341.51	94349.01	3600	0	52
2025.01.01	14:00:00	94349.07	94354.35	94241.48	94302.80	3600	0	52
2025.01.01	15:00:00	94302.86	94313.48	94221.32	94248.76	3600	0	52
2025.01.01	16:00:00	94248.82	94268.95	94169.57	94195.42	3600	0	52
2025.01.01	17:00:00	94195.48	94238.22	94139.42	94197.22	3600	0	52
2025.01.01	18:00:00	94197.28	94288.75	94171.99	94224.64	3600	0	52
2025.01.01	19:00:00	94224.70	94230.46	94093.25	94149.27	3601	0	52
2025.01.01	20:00:00	94149.33	94187.58	94101.17	94179.00	3600	0	52
2025.01.01	21:00:00	94179.06	94183.80	94064.33	94126.35	3600	0	52
2025.01.01	22:00:00	94126.41	94250.49	94126.41	94171.23	3600	0	52
2025.01.01	23:00:00	94171.29	94191.62	94091.38	94113.46	3540	0	52
2025.01.02	00:00:00	94113.52	94161.08	94032.74	94135.96	3600	0	52
2025.01.02	01:00:00	94136.02	94225.32	94103.03	94200.02	3600	0	52
2025.01.02	02:00:00	94200.08	94305.89	94182.60	94267.88	3600	0	52
2025.01.02	03:00:00	94267.94	94330.26	94180.18	94180.96	3600	0	52
2025.01.02	04:00:00	94181.02	94238.27	94148.29	94211.09	3600	0	52
2025.01.02	05:00:00	94211.15	94308.14	94211.15	94291.06	3600	0	52
2025.01.02	06:00:00	94291.12	94429.62	94291.12	94429.62	3600	0	52
2025.01.02	07:00:00	94429.68	94440.34	94320.01	94331.17	3600	0	52
2025.01.02	08:00:00	94331.23	94412.11	94329.77	94368.23	3600	0	52
2025.01.02	09:00:00	94368.29	94388.56	94210.65	94223.58	3600	0	52
2025.01.02	10:00:00	94223.64	94278.47	94151.27	94265.91	3600	0	52
2025.01.02	11:00:00	94265.97	94352.71	94265.97	94313.53	3600	0	52
2025.01.02	12:00:00	94313.59	94342.92	94252.86	94324.15	3600	0	52
2025.01.02	13:00:00	94324.21	94441.88	94319.95	94410.51	3600	0	52
2025.01.02	14:00:00	94410.57	94424.91	94307.40	94326.06	3600	0	52
2025.01.02	15:00:00	94326.12	94347.95	94275.27	94347.95	3600	0	52
2025.01.02	16:00:00	94348.01	94358.63	94243.07	94283.97	3600	0	52
2025.01.02	17:00:00	94284.03	94410.27	94277.49	94352.16	3600	0	52
2025.01.02	18:00:00	94352.22	94366.98	94251.65	94347.39	3600	0	52
2025.01.02	19:00:00	94347.45	94350.63	94243.87	94281.25	3600	0	52
2025.01.02	20:00:00	94281.31	94299.97	94170.87	94220.25	3600	0	52
2025.01.02	21:00:00	94220.31	94249.39	94117.29	94120.59	3600	0	52
2025.01.02	22:00:00	94120.65	94221.08	94120.65	94135.23	3600	0	52
2025.01.02	23:00:00	94135.29	94171.23	94066.83	94132.14	3600	0	52
2025.01.03	00:00:00	94132.20	94172.65	94060.38	94075.26	3600	0	52
2025.01.03	01:00:00	94075.32	94168.40	94047.07	94168.40	3600	0	52
2025.01.03	02:00:00	94168.46	94175.98	93989.01	94037.22	3600	0	52
2025.01.03	03:00:00	94037.28	94046.70	93963.88	94020.45	3600	0	52
2025.01.03	04:00:00	94020.51	94104.75	94003.38	94104.75	3600	0	52
2025.01.03	05:00:00	94104.81	94119.89	93930.28	93937.24	3600	0	52
2025.01.03	06:00:00	93937.30	93960.94	93865.29	93876.33	3600	0	52
2025.01.03	07:00:00	93876.39	93928.23	93803.36	93861.97	3600	0	52
2025.01.03	08:00:00	93862.03	93888.53	93817.14	93824.84	3600	0	52
2025.01.03	09:00:00	93824.90	93941.05	93815.15	93922.96	3600	0	52
2025.01.03	10:00:00	93923.02	93937.60	93858.59	93889.55	3600	0	52
2025.01.03	11:00:00	93889.61	93973.08	93877.04	93897.26	3600	0	52
2025.01.03	12:00:00	93897.32	93902.94	93850.22	93865.72	3600	0	52
2025.01.03	13:00:00	93865.78	93878.26	93709.02	93751.47	3600	0	52
2025.01.03	14:00:00	93751.53	93829.34	93750.64	93769.35	3600	0	52
2025.01.03	15:00:00	93769.41	93858.38	93769.41	93830.45	3600	0	52
2025.01.03	16:00:00	93830.51	93908.51	93808.94	93871.78	3600	0	52
2025.01.03	17:00:00	93871.84	93936.00	93832.05	93927.89	3600	0	52
2025.01.03	18:00:00	93927.95	94005.92	93912.36	93950.87	3600	0	52
2025.01.03	19:00:00	93950.93	93995.57	93883.30	93939.91	3600	0	52
2025.01.03	20:00:00	93939.97	93966.49	93776.88	93786.39	3600	0	52
2025.01.03	21:00:00	93786.45	93854.19	93750.52	93795.04	3600	0	52
2025.01.03	22:00:00	93795.10	93915.84	93778.46	93892.92	3600	0	52
2025.01.03	23:00:00	93892.98	93982.26	93892.98	93918.57	3600	0	52
2025.01.04	00:00:00	93918.63	94023.05	93903.16	93914.02	3600	0	52
2025.01.04	01:00:00	93914.08	93977.10	93879.05	93900.59	3600	0	52
2025.01.04	02:00:00	93900.65	93928.79	93785.65	93826.39	3600	0	52
2025.01.04	03:00:00	93826.45	93914.97	93826.45	93887.77	3600	0	52
2025.01.04	04:00:00	93887.83	93947.87	93870.82	93926.14	3600	0	52
2025.01.04	05:00:00	93926.20	94037.37	93926.20	94037.37	3600	0	52
2025.01.04	06:00:00	94037.43	94065.57	93970.94	94000.95	3600	0	52
2025.01.04	07:00:00	94001.01	94083.98	94001.01	94071.61	3600	0	52
2025.01.04	08:00:00	94071.67	94130.99	94031.09	94120.10	3600	0	52
2025.01.04	09:00:00	94120.16	94193.95	94068.37	94193.95	3600	0	52
2025.01.04	10:00:00	94194.01	94333.71	94194.01	94317.31	3600	0	52
2025.01.04	11:00:00	94317.37	94367.06	94269.86	94272.80	3600	0	52
2025.01.04	12:00:00	94272.86	94386.25	94272.86	94386.25	3600	0	52
2025.01.04	13:00:00	94386.31	94445.91	94370.00	94431.49	3600	0	52
