"<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2025.03.29	98317.03	98400.69	97681.01	97760.39	86400	0	78"
"2025.03.30	97760.33	98586.89	97716.90	98580.11	80188	0	78"
"2025.03.31	98580.05	98798.15	98417.21	98788.31	86400	0	78"
"2025.04.01	98788.25	99074.75	98373.03	99010.71	86400	0	78"
"2025.04.02	99010.65	99231.22	98909.83	99021.61	86401	0	78"
"2025.04.03	99021.55	99561.72	98877.50	99461.01	86400	0	78"
"2025.04.04	99460.95	100133.08	99399.09	99865.98	86400	0	78"
"2025.04.05	99865.92	99878.21	99332.55	99596.53	86400	0	78"
"2025.04.06	99596.47	100026.27	99529.78	99965.19	86338	0	78"
"2025.04.07	99965.13	99970.54	99185.25	99451.84	86400	0	78"
"2025.04.08	99451.78	99690.98	99007.24	99153.88	86400	0	78"
"2025.04.09	99153.82	99337.66	98904.45	98990.04	86400	0	78"
"2025.04.10	98989.98	99867.85	98951.32	99759.46	86401	0	78"
"2025.04.11	99759.40	100072.48	99648.00	99657.60	86316	0	78"
"2025.04.12	99657.54	100418.18	99646.38	100112.03	86400	0	78"
"2025.04.13	100111.97	100370.20	99815.96	100247.15	86248	0	78"
"2025.04.14	100247.09	100392.85	99954.97	100172.06	86400	0	78"
"2025.04.15	100172.00	100267.30	99581.56	99583.44	86281	0	78"
"2025.04.16	99583.38	99904.79	99507.18	99616.92	86399	0	78"
"2025.04.17	99616.86	99686.84	99130.60	99273.42	86280	0	78"
"2025.04.18	99273.36	99691.45	99108.11	99221.19	86400	0	78"
"2025.04.19	99221.13	99422.45	99042.41	99274.55	86400	0	78"
"2025.04.20	99274.49	99312.04	98712.06	98863.11	86338	0	78"
"2025.04.21	98863.05	99586.84	98761.27	99515.42	86401	0	78"
"2025.04.22	99515.36	99543.63	98871.68	99024.28	86205	0	78"
"2025.04.23	99024.22	99054.09	98368.88	98940.52	86400	0	78"
"2025.04.24	98940.46	99418.03	98826.06	98958.37	86400	0	78"
"2025.04.25	98958.31	99396.19	98674.88	98706.96	86231	0	78"
"2025.04.26	98706.90	99190.90	98463.58	98653.43	86401	0	78"
"2025.04.27	98653.37	98738.80	98239.18	98535.05	86338	0	78"
"2025.04.28	98534.99	98699.42	98070.77	98251.66	86318	0	78"
"2025.04.29	98251.60	98451.38	97990.80	98012.11	86400	0	78"
"2025.04.30	98012.05	98021.79	97609.15	97825.32	86400	0	78"
"2025.05.01	97825.26	97892.20	96615.43	96943.38	86401	0	78"
"2025.05.02	96943.32	97204.48	96757.97	96765.02	86400	0	78"
"2025.05.03	96764.96	96837.86	96453.24	96674.90	86400	0	78"
"2025.05.04	96674.84	96803.74	96489.84	96558.55	86335	0	78"
"2025.05.05	96558.49	97058.76	96543.97	96845.10	86401	0	78"
"2025.05.06	96845.04	96923.76	96108.84	96248.16	86400	0	78"
"2025.05.07	96248.10	96996.14	96220.05	96866.31	86400	0	78"
"2025.05.08	96866.25	96866.25	96246.20	96565.66	86400	0	78"
"2025.05.09	96565.60	97411.13	96250.54	97400.55	86401	0	78"
"2025.05.10	97400.49	97778.24	97303.18	97514.11	86400	0	78"
"2025.05.11	97514.05	97740.80	97374.06	97502.74	86138	0	78"
"2025.05.12	97502.68	97796.81	97208.15	97397.20	86401	0	78"
"2025.05.13	97397.14	97409.21	96902.13	96909.73	86400	0	78"
"2025.05.14	96909.67	97384.16	96877.19	97290.21	86400	0	78"
"2025.05.15	97290.15	97400.88	96218.69	96304.67	86400	0	78"
"2025.05.16	96304.61	96716.57	96093.45	96606.73	86401	0	78"
"2025.05.17	96606.67	96799.54	95945.11	96079.10	86371	0	78"
"2025.05.18	96079.04	96299.49	95879.92	96252.07	86337	0	78"
"2025.05.19	96252.01	96826.31	96033.11	96730.38	86401	0	78"
"2025.05.20	96730.32	97279.67	96557.59	97161.72	86400	0	78"
"2025.05.21	97161.66	97499.27	97138.35	97408.18	86400	0	78"
"2025.05.22	97408.12	97408.12	96693.97	96804.08	86401	0	78"
"2025.05.23	96804.02	97180.67	96683.17	96726.85	86400	0	78"
"2025.05.24	96726.79	97097.83	96618.57	97034.60	86400	0	78"
"2025.05.25	97034.54	97264.55	96792.81	96994.93	86336	0	78"
"2025.05.26	96994.87	97482.81	96913.49	96913.49	86400	0	78"
"2025.05.27	96913.43	97829.78	96774.24	97593.61	86360	0	78"
"2025.05.28	97593.55	97691.48	97221.95	97624.66	86352	0	78"
"2025.05.29	97624.60	97777.56	97418.51	97715.95	86400	0	78"
"2025.05.30	97715.89	98528.85	97645.72	98333.40	86285	0	78"
"2025.05.31	98333.34	98392.02	97735.28	98136.09	86320	0	78"
