<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	00:00:00	107538.82	107541.67	107310.73	107336.83	3540	0	53
2025.01.01	01:00:00	107336.88	107423.51	107336.88	107403.63	3600	0	53
2025.01.01	02:00:00	107403.68	107430.31	107329.81	107356.72	3600	0	53
2025.01.01	03:00:00	107356.77	107408.53	107328.00	107364.40	3600	0	53
2025.01.01	04:00:00	107364.45	107391.20	107281.80	107329.30	3600	0	53
2025.01.01	05:00:00	107329.35	107338.30	107185.26	107231.46	3600	0	53
2025.01.01	06:00:00	107231.51	107253.31	107124.37	107210.50	3600	0	53
2025.01.01	07:00:00	107210.55	107298.66	107210.55	107244.55	3600	0	53
2025.01.01	08:00:00	107244.60	107308.64	107170.40	107207.70	3600	0	53
2025.01.01	09:00:00	107207.75	107221.85	107023.14	107035.04	3600	0	53
2025.01.01	10:00:00	107035.09	107050.73	106949.85	107008.08	3600	0	53
2025.01.01	11:00:00	107008.13	107075.13	106945.94	106994.75	3600	0	53
2025.01.01	12:00:00	106994.80	106997.10	106828.96	106869.66	3600	0	53
2025.01.01	13:00:00	106869.71	106936.90	106824.37	106854.97	3600	0	53
2025.01.01	14:00:00	106855.02	106873.99	106786.44	106860.81	3600	0	53
2025.01.01	15:00:00	106860.86	106980.25	106838.60	106980.25	3600	0	53
2025.01.01	16:00:00	106980.30	107040.85	106931.50	107032.11	3600	0	53
2025.01.01	17:00:00	107032.16	107070.57	107007.01	107023.90	3600	0	53
2025.01.01	18:00:00	107023.95	107117.06	106999.59	107117.06	3600	0	53
2025.01.01	19:00:00	107117.11	107153.50	107067.75	107141.24	3601	0	53
2025.01.01	20:00:00	107141.29	107213.01	107130.20	107209.74	3600	0	53
2025.01.01	21:00:00	107209.79	107223.09	107068.95	107095.40	3600	0	53
2025.01.01	22:00:00	107095.45	107168.23	107089.55	107090.25	3600	0	53
2025.01.01	23:00:00	107090.30	107155.44	107069.20	107108.62	3540	0	53
2025.01.02	00:00:00	107108.67	107177.47	107063.78	107091.10	3600	0	53
2025.01.02	01:00:00	107091.15	107176.80	107059.10	107148.69	3600	0	53
2025.01.02	02:00:00	107148.74	107225.70	107148.74	107225.70	3600	0	53
2025.01.02	03:00:00	107225.75	107330.27	107224.92	107288.10	3600	0	53
2025.01.02	04:00:00	107288.15	107342.80	107243.41	107291.53	3600	0	53
2025.01.02	05:00:00	107291.58	107293.79	107216.75	107235.13	3600	0	53
2025.01.02	06:00:00	107235.18	107339.41	107235.18	107262.39	3600	0	53
2025.01.02	07:00:00	107262.44	107324.46	107184.16	107189.16	3600	0	53
2025.01.02	08:00:00	107189.21	107265.94	107160.04	107265.56	3600	0	53
2025.01.02	09:00:00	107265.61	107320.21	107179.61	107197.26	3600	0	53
2025.01.02	10:00:00	107197.31	107271.80	107192.65	107211.27	3600	0	53
2025.01.02	11:00:00	107211.32	107228.77	107113.74	107135.25	3600	0	53
2025.01.02	12:00:00	107135.30	107201.68	107135.30	107178.31	3600	0	53
2025.01.02	13:00:00	107178.36	107185.11	107074.01	107101.19	3600	0	53
2025.01.02	14:00:00	107101.24	107200.89	107077.40	107101.95	3600	0	53
2025.01.02	15:00:00	107102.00	107165.51	107047.66	107108.78	3600	0	53
2025.01.02	16:00:00	107108.83	107200.58	107108.83	107127.99	3600	0	53
2025.01.02	17:00:00	107128.04	107230.26	107128.04	107164.66	3600	0	53
2025.01.02	18:00:00	107164.71	107234.99	107101.89	107234.99	3600	0	53
2025.01.02	19:00:00	107235.04	107245.74	107144.93	107182.95	3600	0	53
2025.01.02	20:00:00	107183.00	107313.42	107170.05	107298.55	3600	0	53
2025.01.02	21:00:00	107298.60	107405.31	107292.86	107359.62	3600	0	53
2025.01.02	22:00:00	107359.67	107373.72	107248.25	107267.37	3600	0	53
2025.01.02	23:00:00	107267.42	107302.47	107093.20	107094.30	3600	0	53
2025.01.03	00:00:00	107094.35	107137.20	107048.02	107132.80	3600	0	53
2025.01.03	01:00:00	107132.85	107163.65	107038.30	107132.05	3600	0	53
2025.01.03	02:00:00	107132.10	107214.95	107113.64	107127.59	3600	0	53
2025.01.03	03:00:00	107127.64	107157.44	107090.29	107105.49	3600	0	53
2025.01.03	04:00:00	107105.54	107177.24	107105.54	107164.27	3600	0	53
2025.01.03	05:00:00	107164.32	107226.50	107140.53	107190.06	3600	0	53
2025.01.03	06:00:00	107190.11	107241.34	107134.49	107211.25	3600	0	53
2025.01.03	07:00:00	107211.30	107226.57	107015.91	107046.46	3600	0	53
2025.01.03	08:00:00	107046.51	107059.36	106924.52	106930.76	3600	0	53
2025.01.03	09:00:00	106930.81	106996.41	106843.55	106860.14	3600	0	53
2025.01.03	10:00:00	106860.19	106907.70	106822.50	106865.10	3600	0	53
2025.01.03	11:00:00	106865.15	106906.24	106800.97	106906.24	3600	0	53
2025.01.03	12:00:00	106906.29	106922.32	106784.67	106870.37	3600	0	53
2025.01.03	13:00:00	106870.42	106884.12	106747.95	106809.65	3600	0	53
2025.01.03	14:00:00	106780.29	106785.83	106678.61	106718.36	3600	0	53
2025.01.03	15:00:00	106718.41	106740.20	106656.87	106729.02	3600	0	53
2025.01.03	16:00:00	106729.07	106779.27	106690.17	106730.17	3600	0	53
2025.01.03	17:00:00	106730.22	106793.56	106689.61	106774.41	3600	0	53
2025.01.03	18:00:00	106774.46	106834.23	106752.92	106825.55	3600	0	53
2025.01.03	19:00:00	106825.60	106943.18	106825.60	106922.26	3600	0	53
2025.01.03	20:00:00	106922.31	106955.91	106850.86	106906.76	3600	0	53
2025.01.03	21:00:00	106906.81	107017.64	106885.20	107017.64	3600	0	53
2025.01.03	22:00:00	107017.69	107047.89	106932.04	107046.89	3600	0	53
2025.01.03	23:00:00	107046.94	107054.74	106832.38	106846.83	3600	0	53
2025.01.04	00:00:00	106846.88	106902.08	106830.12	106890.45	3600	0	53
2025.01.04	01:00:00	106890.50	106928.64	106835.81	106847.56	3600	0	53
2025.01.04	02:00:00	106847.61	106921.06	106725.13	106748.91	3600	0	53
2025.01.04	03:00:00	106748.96	106771.97	106640.99	106678.39	3600	0	53
2025.01.04	04:00:00	106678.44	106815.89	106678.44	106815.25	3600	0	53
2025.01.04	05:00:00	106815.30	106824.40	106585.67	106595.57	3600	0	53
2025.01.04	06:00:00	106595.62	106630.02	106468.54	106486.49	3600	0	53
2025.01.04	07:00:00	106486.54	106574.96	106486.54	106499.53	3600	0	53
2025.01.04	08:00:00	106499.58	106582.85	106476.60	106582.85	3600	0	53
2025.01.04	09:00:00	106582.90	106645.25	106536.64	106633.24	3600	0	53
