<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	106376.41	106456.41	106197.40	106456.41	86281	0	42
2025.01.02	106456.44	106598.03	106198.69	106406.57	86400	0	42
2025.01.03	106406.60	106544.60	106225.45	106310.86	86400	0	42
2025.01.04	106310.89	106548.37	106013.42	106197.47	86401	0	42
2025.01.05	106197.50	106233.36	105877.37	105917.96	86217	0	42
2025.01.06	105917.99	106424.35	105865.72	106424.35	86278	0	42
2025.01.07	106424.38	106639.08	106377.65	106591.18	86401	0	42
2025.01.08	106591.21	106605.22	106212.58	106399.10	86400	0	42
2025.01.09	106399.13	106500.62	105937.27	106155.95	86400	0	42
2025.01.10	106155.98	106214.48	105813.59	105824.12	86401	0	42
2025.01.11	105824.15	106037.07	105783.26	106031.65	86400	0	42
2025.01.12	106031.68	106036.58	105733.42	105974.87	86186	0	42
2025.01.13	105974.90	106056.71	105477.52	105621.22	86396	0	42
2025.01.14	105621.25	105869.13	105590.90	105634.25	86401	0	42
2025.01.15	105634.28	105694.11	105421.99	105555.59	86398	0	42
2025.01.16	105555.62	105637.04	105404.69	105500.95	86400	0	42
2025.01.17	105500.98	105543.41	105241.33	105537.71	86401	0	42
2025.01.18	105537.74	105867.22	105286.34	105776.81	86376	0	42
2025.01.19	105776.84	106094.22	105688.33	106038.51	86335	0	42
2025.01.20	106038.54	106270.07	105948.79	106082.91	86278	0	42
2025.01.21	106082.94	106184.71	105940.33	106087.36	86401	0	42
2025.01.22	106087.39	106285.86	105675.51	105680.34	86400	0	42
2025.01.23	105680.37	105969.24	105547.28	105912.44	86400	0	42
2025.01.24	105912.47	105941.21	105523.80	105803.67	86401	0	42
2025.01.25	105803.70	106061.60	105610.52	105614.34	86381	0	42
2025.01.26	105614.37	105679.67	105202.45	105222.67	86335	0	42
2025.01.27	105222.70	105318.12	104751.10	104888.62	86233	0	42
2025.01.28	104888.65	105059.74	104770.39	104920.59	86297	0	42
2025.01.29	104920.62	104955.66	104414.62	104497.13	86400	0	42
2025.01.30	104497.16	104984.50	104405.55	104984.50	86400	0	42
2025.01.31	104984.53	105042.42	104701.45	104884.18	86401	0	42
2025.02.01	104884.21	105034.89	104713.78	104764.06	85766	0	42
2025.02.02	104764.09	104769.07	104169.94	104177.26	86334	0	42
2025.02.03	104177.29	104231.17	103653.85	103775.74	86400	0	42
2025.02.04	103775.77	103931.38	103567.98	103743.33	86401	0	42
2025.02.05	103743.36	103863.29	103458.07	103607.36	86400	0	42
2025.02.06	103607.39	103816.45	103490.30	103624.13	86400	0	42
2025.02.07	103624.16	103743.64	103434.84	103686.77	86400	0	42
2025.02.08	103686.80	103985.36	103674.46	103821.35	86401	0	42
2025.02.09	103821.38	103972.40	103709.27	103936.48	86207	0	42
2025.02.10	103936.51	104034.18	103690.47	103860.99	86401	0	42
2025.02.11	103861.02	104361.30	103767.45	104302.41	86400	0	42
2025.02.12	104302.44	104347.43	103839.45	103972.19	86400	0	42
2025.02.13	103972.22	104140.58	103777.44	104066.43	86400	0	42
2025.02.14	104066.46	104456.03	104053.13	104311.57	86401	0	42
2025.02.15	104311.60	104442.02	104206.44	104310.18	86400	0	42
2025.02.16	104310.21	104712.92	104274.94	104711.54	86257	0	42
2025.02.17	104711.57	104818.56	104347.27	104355.82	86400	0	42
2025.02.18	104355.85	104467.18	104182.58	104372.85	86401	0	42
2025.02.19	104372.88	104425.25	103954.47	104198.69	86335	0	42
2025.02.20	104198.72	104431.33	104080.71	104422.74	86260	0	42
2025.02.21	104422.77	104655.75	104370.35	104413.35	86400	0	42
2025.02.22	104413.38	104445.69	104052.22	104237.31	86400	0	42
2025.02.23	104237.34	104371.52	104004.24	104050.00	86338	0	42
2025.02.24	104050.03	104489.22	103929.83	104469.98	86401	0	42
2025.02.25	104470.01	105059.00	104424.78	104957.17	86400	0	42
2025.02.26	104957.20	104972.50	104638.40	104967.12	86400	0	42
2025.02.27	104967.15	105885.09	104959.29	105858.69	86400	0	42
2025.02.28	105858.72	105992.14	105682.07	105821.23	86401	0	42
2025.03.01	105821.26	105989.57	105546.65	105661.66	86400	0	42
2025.03.02	105661.69	105735.05	105464.70	105657.56	86256	0	42
